cliente,a_i,p_i,b_i,ArtNum,tramite
1,0,157,757,3,rapida
2,675,162,1437,8,rapida
3,995,173,1768,5,rapida
4,1118,191,1909,17,normal
5,1873,153,2626,8,rapida
6,1940,209,2749,12,normal
7,2096,225,2921,35,normal
8,3600,207,4407,27,normal
9,3630,146,4376,5,rapida
10,3690,123,4413,3,rapida
11,3741,222,4563,13,normal
12,3776,118,4494,10,rapida
13,3779,201,4580,18,normal
14,3793,153,4546,3,rapida
15,3812,157,4569,4,rapida
16,3820,240,4660,30,normal
17,3822,205,4627,12,normal
18,3853,161,4614,2,rapida
19,3905,206,4711,22,normal
20,3922,131,4653,5,rapida
21,3982,206,4788,13,normal
22,3986,136,4722,6,rapida
23,3993,209,4802,12,normal
24,4024,152,4776,8,rapida
25,4039,181,4820,15,normal
26,4088,187,4875,12,normal
27,4130,139,4869,8,rapida
28,4146,216,4962,2,rapida
29,4151,136,4887,2,rapida
30,4166,232,4998,11,normal
31,4208,228,5036,24,normal
32,4259,227,5086,15,normal
33,4274,159,5033,1,rapida
34,4276,219,5095,28,normal
35,4315,197,5112,24,normal
36,4332,195,5127,23,normal
37,4349,208,5157,59,normal
38,4356,169,5125,5,rapida
39,4363,237,5200,11,normal
40,4422,171,5193,2,rapida
41,4462,213,5275,13,normal
42,4475,186,5261,11,normal
43,4503,139,5242,8,rapida
44,4536,162,5298,8,rapida
45,4641,159,5400,6,rapida
46,4648,176,5424,16,normal
47,4681,229,5510,28,normal
48,4739,245,5584,11,normal
49,4834,164,5598,9,rapida
50,4846,152,5598,5,rapida
51,4862,172,5634,15,normal
52,4911,170,5681,1,rapida
53,4914,155,5669,5,rapida
54,4950,121,5671,9,rapida
55,5087,154,5841,5,rapida
56,5127,230,5957,24,normal
57,5127,157,5884,1,rapida
58,5136,219,5955,18,normal
59,5148,191,5939,26,normal
60,5219,168,5987,10,rapida
61,5240,153,5993,9,rapida
62,5242,214,6056,17,normal
63,5266,183,6049,18,normal
64,5296,195,6091,4,rapida
65,5310,147,6057,10,rapida
66,5317,138,6055,3,rapida
67,5466,203,6269,35,normal
68,5525,209,6334,107,normal
69,5588,240,6428,20,normal
70,5610,202,6412,40,normal
71,5621,193,6414,27,normal
72,5636,217,6453,13,normal
73,5640,222,6462,19,normal
74,5743,192,6535,30,normal
75,5766,185,6551,20,normal
76,5851,187,6638,12,normal
77,5867,240,6707,81,normal
78,5908,221,6729,14,normal
79,5939,184,6723,8,rapida
80,5942,146,6688,1,rapida
81,6057,151,6808,6,rapida
82,6073,201,6874,20,normal
83,6079,235,6914,12,normal
84,6128,192,6920,11,normal
85,6154,157,6911,7,rapida
86,6191,207,6998,61,normal
87,6220,183,7003,30,normal
88,6220,234,7054,80,normal
89,6229,155,6984,9,rapida
90,6237,163,7000,2,rapida
91,6299,166,7065,4,rapida
92,6326,190,7116,16,normal
93,6369,191,7160,36,normal
94,6387,217,7204,35,normal
95,6431,136,7167,8,rapida
96,6453,125,7178,2,rapida
97,6473,161,7234,16,normal
98,6505,127,7232,7,rapida
99,6534,180,7314,9,rapida
100,6721,178,7499,48,normal
101,6730,144,7474,9,rapida
102,6732,169,7501,2,rapida
103,6768,226,7594,20,normal
104,6778,187,7565,23,normal
105,6784,167,7551,6,rapida
106,7200,269,8069,24,normal
107,7317,212,8129,42,normal
108,7323,150,8073,8,rapida
109,7324,130,8054,6,rapida
110,7435,167,8202,6,rapida
111,7439,150,8189,5,rapida
112,7613,124,8337,8,rapida
113,7626,171,8397,17,normal
114,7712,139,8451,7,rapida
115,7726,156,8482,20,normal
116,7757,247,8604,17,normal
117,7774,117,8491,4,rapida
118,7788,140,8528,2,rapida
119,7813,152,8565,6,rapida
120,7845,147,8592,10,rapida
121,7868,145,8613,3,rapida
122,7889,151,8640,6,rapida
123,7896,212,8708,49,normal
124,7914,162,8676,2,rapida
125,7991,204,8795,29,normal
126,7998,171,8769,10,rapida
127,8024,212,8836,21,normal
128,8082,171,8853,36,normal
129,8114,175,8889,1,rapida
130,8161,133,8894,3,rapida
131,8165,178,8943,2,rapida
132,8191,150,8941,9,rapida
133,8205,142,8947,5,rapida
134,8219,207,9026,39,normal
135,8291,188,9079,15,normal
136,8306,206,9112,39,normal
137,8332,198,9130,16,normal
138,8333,128,9061,2,rapida
139,8419,211,9230,21,normal
140,8464,201,9265,15,normal
141,8482,100,9182,3,rapida
142,8495,160,9255,3,rapida
143,8530,159,9289,4,rapida
144,8588,137,9325,7,rapida
145,8674,196,9470,58,normal
146,8718,138,9456,6,rapida
147,8739,146,9485,10,rapida
148,8788,142,9530,8,rapida
149,8830,133,9563,6,rapida
150,8851,186,9637,12,normal
151,8892,126,9618,8,rapida
